file_name,path,size_mb
google_play_reviews_after_cadence_runA.sqlite.zip,/content/outputs/google_play_reviews_after_cadence_runA.sqlite.zip,13.76780891418457
phase2_cadence_app_comparison_through_runA.csv,/content/outputs/phase2_cadence_app_comparison_through_runA.csv,0.010741233825683594
phase2_cadence_comparison_through_runA.csv,/content/outputs/phase2_cadence_comparison_through_runA.csv,0.0014495849609375
phase2_cadence_operating_assumption_findings.md,/content/outputs/phase2_cadence_operating_assumption_findings.md,0.007573127746582031
phase2_cadence_runA_app_level_summary.csv,/content/outputs/phase2_cadence_runA_app_level_summary.csv,0.0023393630981445312
phase2_cadence_runA_app_new_insert_ranking.csv,/content/outputs/phase2_cadence_runA_app_new_insert_ranking.csv,0.0026712417602539062
phase2_cadence_runA_database_schema_snapshot.csv,/content/outputs/phase2_cadence_runA_database_schema_snapshot.csv,0.004557609558105469
phase2_cadence_runA_quality_flags.csv,/content/outputs/phase2_cadence_runA_quality_flags.csv,3.30728816986084
phase2_cadence_runA_run_summary.csv,/content/outputs/phase2_cadence_runA_run_summary.csv,0.0009584426879882812
phase2_cadence_runA_sample_new_reviews.csv,/content/outputs/phase2_cadence_runA_sample_new_reviews.csv,0.1901693344116211
