source,field,missing_rate
google_play,review_id,0.0
google_play,user_name,0.0
google_play,review_text,0.0
google_play,rating,0.0
google_play,thumbs_up,0.0
google_play,review_created_version,0.17683333333333334
google_play,review_date,0.0
google_play,developer_reply,0.675
google_play,reply_date,0.675
google_play,app_version,0.17683333333333334
ios_app_store,review_id,0.0
ios_app_store,user_name,0.0
ios_app_store,review_text,0.0
ios_app_store,rating,0.0
ios_app_store,title,0.0
ios_app_store,app_version,0.0
ios_app_store,review_date,0.0
ios_app_store,review_url,0.0
